cluster_rank,cluster_id,article_score,product,outlet,domain,title,url,url_strong_tags,url_weak_tags,learned_scores_json,learned_hits_json,reasons
1,C036,8.85,nacional,Elnaveghable,elnaveghable.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elnaveghable.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
1,C036,8.85,biz,Elnaveghable,elnaveghable.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elnaveghable.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
1,C036,8.85,nacional,Elboyaldia,elboyaldia.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elboyaldia.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
1,C036,8.85,nacional,Elmorrocotudo,elmorrocotudo.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elmorrocotudo.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
1,C036,8.85,nacional,Elnortero,elnortero.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elnortero.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
1,C036,8.85,nacional,Elobservatodo,elobservatodo.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elobservatodo.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
1,C036,8.85,biz,Elobservatodo,elobservatodo.cl,Cuando trabajar desde casa afecta el bienestar: expertos explican cómo prevenir el desgaste mental,https://www.elobservatodo.cl/noticia/economia/cuando-trabajar-desde-casa-afecta-el-bienestar-expertos-explican-como-prevenir-el-d,economia_negocios,,"{""product:regiones"": 12.8699, ""sector:salud_educacion_social"": 10.9185, ""region:Metropolitana"": 10.0069, ""source:normal_scrape"": 9.8336, ""sector:empresas_finanzas"": 9.3479, ""sector:politica_estado"": 9.3433, ""sector:justicia_seguridad"": 9.053, ""sector:laboral_gobernanza"": 9.0478}","{""product:regiones"": [""salud"", ""laboral"", ""economia"", ""salud mental"", ""Uno de los"", ""En los"", ""Corresponsal Mi Voz""], ""sector:salud_educacion_social"": [""salud"", ""economia"", ""laboral"", ""salud mental"", ""Uno de los"", ""En los""], ""region:Metropolitana"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los"", ""SANTIAGO""], ""source:normal_scrape"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:empresas_finanzas"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:politica_estado"": [""economia"", ""salud"", ""laboral"", ""Uno de los"", ""En los""], ""sector:justicia_seguridad"": [""salud"", ""economia"", ""laboral"", ""Uno de los"", ""En los""], ""sector:laboral_gobernanza"": [""laboral"", ""economia"", ""salud"", ""En los"", ""Uno de los""]}","flash_clean_pool; url_section:economia->economia_negocios; learned:product:regiones,sector:salud_educacion_social,region:Metropolitana"
2,C032,8.85,nacional,Elmorrocotudo,elmorrocotudo.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elmorrocotudo.cl/noticia/salud/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-prolongadas-p,salud,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; url_section:salud->salud; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elnaveghable,elnaveghable.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elnaveghable.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elboyaldia,elboyaldia.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elboyaldia.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elnortero,elnortero.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elnortero.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elobservatodo,elobservatodo.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elobservatodo.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elrancahuaso,elrancahuaso.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elrancahuaso.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elconcecuente,elconcecuente.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elconcecuente.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
2,C032,7.7,nacional,Elmagallanews,elmagallanews.cl,"Alerta Oncológica: Minsal logra contactar al 99,9% de pacientes con esperas prolongadas por cáncer",https://www.elmagallanews.cl/noticia/alerta-oncologica/alerta-oncologica-minsal-logra-contactar-al-999-de-pacientes-con-esperas-p,,,"{""product:regiones"": 16.7921, ""sector:politica_estado"": 11.3763, ""sector:salud_educacion_social"": 11.0059, ""source:normal_scrape"": 9.6098, ""sector:empresas_finanzas"": 9.164, ""sector:justicia_seguridad"": 9.0044, ""sector:infraestructura_concesiones"": 8.8765, ""region:Ñuble"": 8.7556}","{""product:regiones"": [""salud"", ""autoridades"", ""ministerio"", ""estado"", ""En los"", ""Corresponsal Mi Voz"", ""Ministerio de Salud"", ""Ministerio"", ""Otro de los""], ""sector:politica_estado"": [""ministerio"", ""estado"", ""autoridades"", ""salud"", ""Ministerio de Salud"", ""En los""], ""sector:salud_educacion_social"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""Ministerio de Salud"", ""En los""], ""source:normal_scrape"": [""salud"", ""estado"", ""autoridades"", ""ministerio"", ""En los""], ""sector:empresas_finanzas"": [""estado"", ""autoridades"", ""ministerio"", ""salud"", ""En los""], ""sector:justicia_seguridad"": [""ministerio"", ""autoridades"", ""estado"", ""salud"", ""En los""], ""sector:infraestructura_concesiones"": [""estado"", ""ministerio"", ""autoridades"", ""salud"", ""En los""], ""region:Ñuble"": [""salud"", ""ministerio"", ""autoridades"", ""estado"", ""En los"", ""Ministerio de Salud""]}","flash_clean_pool; learned:product:regiones,sector:politica_estado,sector:salud_educacion_social"
3,C033,8.85,nacional,Elmorrocotudo,elmorrocotudo.cl,El desafío de envejecer con dignidad: expertos llaman a fortalecer el buen trato hacia las personas mayores,https://www.elmorrocotudo.cl/noticia/salud/el-desafio-de-envejecer-con-dignidad-expertos-llaman-fortalecer-el-buen-trato-hacia-la,salud,,"{""sector:medioambiente_permisos"": 5.5165, ""sector:politica_estado"": 5.499, ""sector:empresas_finanzas"": 5.3549, ""sector:mineria_energia"": 5.2341, ""sector:infraestructura_concesiones"": 5.1503, ""region:Biobío"": 4.815, ""sector:ma_distress"": 4.5939, ""region:Antofagasta"": 4.4497}","{""sector:medioambiente_permisos"": [""sea"", ""salud"", ""SEA""], ""sector:politica_estado"": [""salud"", ""sea"", ""SEA""], ""sector:empresas_finanzas"": [""salud"", ""sea"", ""SEA""], ""sector:mineria_energia"": [""sea"", ""salud"", ""SEA""], ""sector:infraestructura_concesiones"": [""salud"", ""sea"", ""SEA""], ""region:Biobío"": [""salud"", ""sea"", ""SEA""], ""sector:ma_distress"": [""salud"", ""sea"", ""SEA""], ""region:Antofagasta"": [""salud"", ""sea"", ""SEA""]}","flash_clean_pool; url_section:salud->salud; learned:sector:medioambiente_permisos,sector:politica_estado,sector:empresas_finanzas"
3,C033,7.7,nacional,Elnaveghable,elnaveghable.cl,El desafío de envejecer con dignidad: expertos llaman a fortalecer el buen trato hacia las personas mayores,https://www.elnaveghable.cl/noticia/autonomia/el-desafio-de-envejecer-con-dignidad-expertos-llaman-fortalecer-el-buen-trato-haci,,,"{""sector:medioambiente_permisos"": 3.8673, ""sector:politica_estado"": 3.6807, ""sector:empresas_finanzas"": 3.5956, ""sector:mineria_energia"": 3.5912, ""sector:infraestructura_concesiones"": 3.4466, ""region:Biobío"": 3.2131, ""product:df_archive"": 3.1455, ""source:df_body_archive"": 3.1455}","{""sector:medioambiente_permisos"": [""sea"", ""SEA""], ""sector:politica_estado"": [""sea"", ""SEA""], ""sector:empresas_finanzas"": [""sea"", ""SEA""], ""sector:mineria_energia"": [""sea"", ""SEA""], ""sector:infraestructura_concesiones"": [""sea"", ""SEA""], ""region:Biobío"": [""sea"", ""SEA""], ""product:df_archive"": [""sea"", ""SEA""], ""source:df_body_archive"": [""sea"", ""SEA""]}","flash_clean_pool; learned:sector:medioambiente_permisos,sector:politica_estado,sector:empresas_finanzas"
3,C033,7.7,nacional,Elboyaldia,elboyaldia.cl,El desafío de envejecer con dignidad: expertos llaman a fortalecer el buen trato hacia las personas mayores,https://www.elboyaldia.cl/noticia/autonomia/el-desafio-de-envejecer-con-dignidad-expertos-llaman-fortalecer-el-buen-trato-haci,,,"{""sector:medioambiente_permisos"": 3.8673, ""sector:politica_estado"": 3.6807, ""sector:empresas_finanzas"": 3.5956, ""sector:mineria_energia"": 3.5912, ""sector:infraestructura_concesiones"": 3.4466, ""region:Biobío"": 3.2131, ""product:df_archive"": 3.1455, ""source:df_body_archive"": 3.1455}","{""sector:medioambiente_permisos"": [""sea"", ""SEA""], ""sector:politica_estado"": [""sea"", ""SEA""], ""sector:empresas_finanzas"": [""sea"", ""SEA""], ""sector:mineria_energia"": [""sea"", ""SEA""], ""sector:infraestructura_concesiones"": [""sea"", ""SEA""], ""region:Biobío"": [""sea"", ""SEA""], ""product:df_archive"": [""sea"", ""SEA""], ""source:df_body_archive"": [""sea"", ""SEA""]}","flash_clean_pool; learned:sector:medioambiente_permisos,sector:politica_estado,sector:empresas_finanzas"
